logs__queries__correct,logs__queries__error,logs__users,logs__timestamp,dia,mes,aux,año,time,hora,min
270,0,270,4/8/18 17:45,4,8,18 17:45,18,17:45,17,45
270,1,271,4/8/18 18:00,4,8,18 18:00,18,18:00,18,0
348,0,348,4/8/18 18:15,4,8,18 18:15,18,18:15,18,15
349,2,341,4/8/18 18:30,4,8,18 18:30,18,18:30,18,30
359,2,361,4/8/18 18:45,4,8,18 18:45,18,18:45,18,45
341,0,338,4/8/18 19:00,4,8,18 19:00,18,19:00,19,0
346,2,348,4/8/18 19:15,4,8,18 19:15,18,19:15,19,15
293,2,295,4/8/18 19:30,4,8,18 19:30,18,19:30,19,30
284,2,286,4/8/18 19:45,4,8,18 19:45,18,19:45,19,45
303,4,307,4/8/18 20:00,4,8,18 20:00,18,20:00,20,0
347,2,349,4/8/18 20:15,4,8,18 20:15,18,20:15,20,15
315,3,318,4/8/18 20:30,4,8,18 20:30,18,20:30,20,30
365,1,366,4/8/18 20:45,4,8,18 20:45,18,20:45,20,45
346,1,347,4/8/18 21:00,4,8,18 21:00,18,21:00,21,0
379,2,381,4/8/18 21:15,4,8,18 21:15,18,21:15,21,15
434,2,436,4/8/18 21:30,4,8,18 21:30,18,21:30,21,30
433,3,436,4/8/18 21:45,4,8,18 21:45,18,21:45,21,45
357,4,361,4/8/18 22:00,4,8,18 22:00,18,22:00,22,0
414,3,417,4/8/18 22:15,4,8,18 22:15,18,22:15,22,15
453,5,458,4/8/18 22:30,4,8,18 22:30,18,22:30,22,30
399,6,405,4/8/18 22:45,4,8,18 22:45,18,22:45,22,45
393,4,397,4/8/18 23:00,4,8,18 23:00,18,23:00,23,0
377,7,384,4/8/18 23:15,4,8,18 23:15,18,23:15,23,15
380,2,382,4/8/18 23:30,4,8,18 23:30,18,23:30,23,30
371,3,374,4/8/18 23:45,4,8,18 23:45,18,23:45,23,45
342,1,343,5/8/18 0:00,5,8,18 0:00,18,0:00,0,0
356,4,360,5/8/18 0:15,5,8,18 0:15,18,0:15,0,15
320,2,322,5/8/18 0:30,5,8,18 0:30,18,0:30,0,30
271,0,271,5/8/18 0:45,5,8,18 0:45,18,0:45,0,45
249,0,249,5/8/18 1:00,5,8,18 1:00,18,1:00,1,0
257,4,261,5/8/18 1:15,5,8,18 1:15,18,1:15,1,15
257,4,261,5/8/18 1:30,5,8,18 1:30,18,1:30,1,30
229,2,223,5/8/18 1:45,5,8,18 1:45,18,1:45,1,45
226,2,228,5/8/18 2:00,5,8,18 2:00,18,2:00,2,0
255,4,259,5/8/18 2:15,5,8,18 2:15,18,2:15,2,15
254,4,258,5/8/18 2:30,5,8,18 2:30,18,2:30,2,30
206,2,208,5/8/18 2:45,5,8,18 2:45,18,2:45,2,45
233,4,227,5/8/18 3:00,5,8,18 3:00,18,3:00,3,0
228,4,232,5/8/18 3:15,5,8,18 3:15,18,3:15,3,15
182,2,184,5/8/18 3:30,5,8,18 3:30,18,3:30,3,30
